planet_name,planet_orbit,distance
HD 102329 c,1123,217.107
HD 102365 b,122.1,9.2894
HD 102843 b,3090.942,62.758
HD 102956 b,6.4947,121.89
HD 103197 b,47.84,57.1463
HD 103720 b,4.5557,45.5352
HD 103774 b,5.8881,56.4089
HD 103891 b,1919,55.5213
HD 103949 b,120.878,26.4997
HD 104067 b,55.851,20.3632
HD 104067 c,13.8992,20.3632
HD 10442 b,1032.3,135.374
HD 104985 b,199.68,100.576
HD 105618 b,10.02245,70.0837
HD 105618 c,77114.07158,70.0837
HD 105779 b,2412,55.2411
HD 106252 b,1531,38.185
HD 106270 b,1888,93.808
HD 106315 b,9.55237,109.353
HD 106315 c,21.05704,109.353
HD 10647 b,989.2,17.3357
HD 106515 A b,3586.86089,34.0915
HD 106906 b,,103.029
HD 10697 b,1075.3799,33.1205
HD 107148 b,48.056,49.4156
HD 107148 c,18.3267,49.4156
HD 108147 b,10.8985,38.92
HD 108202 b,2990,38.6846
HD 108236 b,3.795963,64.5978
HD 108236 c,6.203449,64.5978
HD 108236 d,14.175685,64.5978
HD 108236 e,19.590025,64.5978
HD 108236 f,29.54115,64.5978
HD 108341 b,1129,48.9102
HD 108863 b,437.7,164.742
HD 108874 b,394.48123,59.5175
HD 108874 c,1624,59.5175
HD 109246 b,68.27,67.8349
HD 109271 b,7.8543,55.8716
HD 109271 c,30.93,55.8716
HD 109286 b,520.1,55.4156
HD 109749 b,5.239891,63.0821
HD 10975 b,283.8,116.506
HD 109833 b,9.188526,79.5561
HD 109833 c,13.900148,79.5561
HD 109988 b,17132.15854,42.5279
HD 110014 b,835.477,100.758
HD 110067 b,9.113678,32.1585
HD 110067 c,13.673694,32.1585
HD 110067 d,20.519617,32.1585
HD 110067 e,30.793091,32.1585
HD 110067 f,41.05854,32.1585
HD 110067 g,54.76992,32.1585
HD 110082 b,10.18271,105.096
HD 110113 b,2.541,106.307
HD 110113 c,6.744,106.307
HD 110537 b,24469.67342,45.0858
HD 11112 b,17244.90764,44.3804
HD 111232 b,1169.13202,28.9571
HD 111232 c,26472.44623,28.9571
HD 111591 b,1056.4,114.166
HD 111998 b,810,33.2237
HD 112300 b,466.63,62.07324
HD 112570 b,2615,101.166
HD 112640 b,613.2,323.335
HD 113337 b,317.58639,36.18
HD 113337 c,5429.93477,36.18
HD 11343 c,228.53731,155.121
HD 113538 b,663.2,16.2817
HD 113538 c,1818,16.2817
HD 113996 b,610.2,116.334
HD 114082 b,109.75,95.3906
HD 114386 b,937.70001,27.9243
HD 114729 b,1121.79,37.8063
HD 114783 b,493.7,21.0628
HD 114783 c,4352,21.0628
HD 11505 b,32669.22247,38.9679
HD 11506 b,1617.7,51.261
HD 11506 c,223.92,51.261
HD 11506 d,26500,51.261
HD 115404 A b,10.49488,10.9816
HD 115404 A c,15319.22517,10.9816
HD 115954 b,3700,87.6437
HD 116029 b,670,123.245
HD 116029 c,907,123.245
HD 117207 b,2621.75,32.3547
HD 11755 b,433.70001,235.045
HD 117618 b,25.8,37.7781
HD 118203 b,6.134989,92.2589
HD 118203 c,5070,92.2589
HD 11964 b,1945,33.5369
HD 11964 c,37.91,33.5369
HD 11977 b,711,67.9331
HD 120084 b,2142,103.044
HD 121504 b,63.33,41.6592
HD 12235 b,4.36305,31.7627
HD 12235 c,36336.70679,31.7627
HD 122562 c,84.96276,53.2528
HD 124330 b,270.66,60.1977
HD 12484 b,58.83,48.3367
HD 125271 b,14901.99295,39.3466
HD 125390 b,1757.39151,153.647
HD 125595 b,9.6737,28.1989
HD 125612 b,557.69994,57.6207
HD 125612 c,4.15466,57.6207
HD 125612 d,2822.72698,57.6207
HD 12648 b,133.60001,182.192
HD 126525 b,960.41,37.6506
HD 12661 b,262.70862,37.8478
HD 12661 c,1708,37.8478
HD 126614 b,1257.25303,73.0961
HD 127506 b,65.78395,22.5279
HD 128311 b,453.019,16.3292
HD 128311 c,921.538,16.3292
HD 128356 b,298.2,26.1548
HD 129445 b,1840,67.4386
HD 130322 b,10.70871,31.8766
HD 131496 b,896,131.849
HD 13167 b,2613,148.934
HD 13189 b,471.60001,497.823
HD 132406 b,908,70.7832
HD 132563 b,1544,105.155
HD 133131 A b,649,51.4736
HD 133131 A c,3568,51.4736
HD 133131 B b,5769,51.2993
HD 134060 b,3.2696,24.0125
HD 134060 c,1291.5646,24.0125
HD 134606 b,12.089,26.7909
HD 134606 c,58.883,26.7909
HD 134606 d,966.5,26.7909
HD 134606 e,4.3203,26.7909
HD 134606 f,26.915,26.7909
HD 134987 b,258.17999,26.1804
HD 134987 c,5000,26.1804
HD 135625 b,4055,56.518
HD 135694 b,15.92346,73.8713
HD 135872 b,2422.32597,82.4251
HD 136118 b,1187.59765,51.4359
HD 136352 b,11.57797,14.682
HD 136352 c,27.59221,14.682
HD 136352 d,107.245,14.682
HD 136418 b,464.29999,105.168
HD 136925 b,4540,47.874
HD 13724 c,142.22895,43.465
HD 137388 b,330,40.4841
HD 137496 b,1.62116,155.317
HD 137496 c,479.9,155.317
HD 13808 b,14.1815,28.2305
HD 13808 c,53.753,28.2305
HD 13908 b,19.382,79.5515
HD 13908 c,931,79.5515
HD 13931 b,4218,47.3963
HD 139357 b,1124.79139,112.09
HD 1397 b,11.53533,79.5702
HD 14067 b,2744,142.024
HD 140901 b,9.02378,15.2528
HD 140901 c,14386,15.2528
HD 141004 b,15.5083,11.8148
HD 141399 b,94.44,37.0169
HD 141399 c,201.99,37.0169
HD 141399 d,1069.8,37.0169
HD 141399 e,5000,37.0169
HD 141937 b,653.21997,33.3622
HD 142 A d,108.45299,26.1853
HD 142 b,351.43394,26.1853
HD 142 c,10159.64279,26.1853
HD 142022 A b,1928,34.2802
HD 142245 b,1299,97.2305
HD 142415 b,386.29999,35.5318
HD 143105 b,2.1974,46.7789
HD 143361 b,1039.15,68.5146
HD 144899 b,40.43914,115.665
HD 145377 b,103.95,53.4884
HD 145457 b,176.13,135.292
HD 145675 c,15732.45889,17.9323
HD 145934 b,2751.53433,227.881
HD 1461 b,5.77152,23.4534
HD 1461 c,13.5052,23.4534
HD 147018 b,44.236,40.4256
HD 147018 c,1008,40.4256
HD 147379 b,86.58,10.7643
HD 147513 b,528.4,12.9032
HD 14787 b,676.6,119.137
HD 147873 b,116.596,109.055
HD 147873 c,491.54,109.055
HD 148156 b,1027,57.1289
HD 148164 b,328.55,77.1971
HD 148164 c,5062,77.1971
HD 148427 b,331.5,71.3499
HD 149026 b,2.87589,75.8643
HD 149143 b,4.07182,73.2801
HD 149806 b,16521.52778,20.2727
HD 150010 b,562,144.49
HD 1502 b,428.5,190.953
HD 150706 b,5894,28.2697
HD 151450 b,21.89288,43.6002
HD 151450 c,18144.76236,43.6002
HD 152079 b,2918.92,87.8888
